@relation areasdeconocimiento

@attribute sexo {F,M}
@attribute edad numeric
@attribute ingenieria numeric
@attribute realistic numeric
@attribute investigativo numeric
@attribute artistic numeric
@attribute social numeric
@attribute emprendedor numeric
@attribute convencional numeric
@data
M,20,1,25,18,17,19,22,15
M,19,1,17,4,26,17,19,22
F,20,0,13,16,30,29,26,12
F,19,0,4,22,3,14,2,0
M,18,1,23,19,29,17,19,19
F,19,1,13,9,26,15,23,4
M,18,0,12,12,10,10,10,4
F,18,0,11,29,25,30,18,7
M,21,1,16,3,21,19,28,21
F,20,0,3,11,6,3,6,3
F,17,0,12,27,30,30,19,8
M,18,0,21,30,24,28,25,21
M,20,0,26,21,21,30,17,16
M,16,1,6,10,6,6,9,10
M,17,0,15,23,18,27,26,14
M,12,0,6,10,5,10,21,9
M,16,0,9,14,30,29,11,10
F,18,0,20,4,30,30,26,16
F,16,0,10,29,22,28,21,18
F,20,0,17,4,20,30,20,20
F,15,0,19,28,30,22,20,14
F,20,0,24,4,30,30,30,30
M,16,0,4,4,24,4,3.5,4
F,17,0,26,4,4,30,25,27
F,17,0,19,3,28,30,25,13
M,21,0,22,30,30,28,19,19
M,18,0,0,5,30,7,12,0
F,18,0,15,29,22,24,27,24
F,17,0,12,29,30,21,24,4
F,16,0,10,27,30,24,18,11
F,16,0,12,27,30,27,20,15
F,15,0,0,0,0,0,0,0
M,16,0,21,3,27,25,30,30
M,17,1,7,22,10,2,7,2
F,16,0,30,4,30,30,30,30
F,15,0,25,3,28,25,26,27
M,17,0,30,28,29,29,30,30
F,15,0,18,23,30,30,30,30
F,17,0,20,30,30,29,25,17
M,18,0,4,5,7,5,9,16
M,16,0,4,3,3,3,3.7,4
M,15,1,12,18,15,17,16,14
M,17,0,27,4,17,17,24,23
M,17,0,22,24,28,23,27,23
F,15,0,23,3,15,19,30,25
F,18,1,17,4,6,23,12,30
